,date,cases,deaths
0,2020-01-22,0,0
1,2020-01-23,0,0
2,2020-01-24,0,0
3,2020-01-25,0,0
4,2020-01-26,0,0
5,2020-01-27,1,0
6,2020-01-28,1,0
7,2020-01-29,2,0
8,2020-01-30,2,0
9,2020-01-31,2,0
10,2020-02-01,2,0
11,2020-02-02,2,0
12,2020-02-03,2,0
13,2020-02-04,2,0
14,2020-02-05,2,0
15,2020-02-06,2,1
16,2020-02-07,2,1
17,2020-02-08,2,1
18,2020-02-09,2,1
19,2020-02-10,2,1
20,2020-02-11,2,1
21,2020-02-12,2,1
22,2020-02-13,2,1
23,2020-02-14,2,1
24,2020-02-15,2,1
25,2020-02-16,2,1
26,2020-02-17,2,2
27,2020-02-18,3,2
28,2020-02-19,3,2
29,2020-02-20,3,2
30,2020-02-21,4,2
31,2020-02-22,4,2
32,2020-02-23,4,2
33,2020-02-24,5,2
34,2020-02-25,5,2
35,2020-02-26,7,2
36,2020-02-27,7,2
37,2020-02-28,9,2
38,2020-02-29,13,2
39,2020-03-01,13,2
40,2020-03-02,20,2
41,2020-03-03,24,2
42,2020-03-04,29,2
43,2020-03-05,38,2
44,2020-03-06,49,3
45,2020-03-07,66,3
46,2020-03-08,76,3
47,2020-03-09,112,4
48,2020-03-10,137,4
49,2020-03-11,183,4
50,2020-03-12,206,4
51,2020-03-13,264,4
52,2020-03-14,328,4
53,2020-03-15,384,6
54,2020-03-16,446,8
55,2020-03-17,539,9
56,2020-03-18,624,10
57,2020-03-19,730,10
58,2020-03-20,858,14
59,2020-03-21,928,14
60,2020-03-22,1052,16
61,2020-03-23,1220,20
62,2020-03-24,1361,24
63,2020-03-25,1520,30
64,2020-03-26,1730,35
65,2020-03-27,1972,40
66,2020-03-28,2149,49
67,2020-03-29,2250,51
68,2020-03-30,2460,58
69,2020-03-31,2632,65
70,2020-04-01,2891,70
71,2020-04-02,3113,77
72,2020-04-03,3343,88
73,2020-04-04,3609,91
74,2020-04-05,3775,92
75,2020-04-06,3948,100
76,2020-04-07,4130,113
77,2020-04-08,4379,118
78,2020-04-09,4582,121
79,2020-04-10,4837,132
80,2020-04-11,5013,136
81,2020-04-12,5111,142
82,2020-04-13,5359,149
83,2020-04-14,5513,150
84,2020-04-15,5690,172
85,2020-04-16,5832,188
86,2020-04-17,6035,188
87,2020-04-18,6268,200
88,2020-04-19,6364,202
89,2020-04-20,6574,214
90,2020-04-21,6705,221
91,2020-04-22,6815,237
92,2020-04-23,7026,243
93,2020-04-24,7219,252
94,2020-04-25,7354,259
95,2020-04-26,7499,260
96,2020-04-27,7661,264
97,2020-04-28,7827,277
98,2020-04-29,7978,282
99,2020-04-30,8130,293
100,2020-05-01,8259,304
101,2020-05-02,8446,307
102,2020-05-03,8588,308
103,2020-05-04,8768,312
104,2020-05-05,8980,328
105,2020-05-06,9159,334
106,2020-05-07,9311,337
107,2020-05-08,9493,342
108,2020-05-09,9669,345
109,2020-05-10,9819,347
110,2020-05-11,9936,354
111,2020-05-12,10089,368
112,2020-05-13,10234,374
113,2020-05-14,10370,381
114,2020-05-15,10548,389
115,2020-05-16,10709,390
116,2020-05-17,10837,390
117,2020-05-18,11116,390
118,2020-05-19,11312,404
119,2020-05-20,11426,410
120,2020-05-21,11591,416
121,2020-05-22,12003,421
122,2020-05-23,12228,424
123,2020-05-24,12426,425
124,2020-05-25,12554,426
125,2020-05-26,12869,432
126,2020-05-27,13048,434
127,2020-05-28,13267,438
128,2020-05-29,13435,440
129,2020-05-30,13725,441
130,2020-05-31,13943,443
131,2020-06-01,14202,443
132,2020-06-02,14347,450
133,2020-06-03,14519,451
134,2020-06-04,14740,451
135,2020-06-05,15026,460
136,2020-06-06,15302,460
137,2020-06-07,15499,462
138,2020-06-08,15813,465
139,2020-06-09,16064,475
140,2020-06-10,16231,478
141,2020-06-11,16479,484
142,2020-06-12,16822,493
143,2020-06-13,17066,493
144,2020-06-14,17263,498
145,2020-06-15,17490,498
146,2020-06-16,17780,505
147,2020-06-17,18091,512
